item_id,game_id
2268318,284921427
2333346,284926400
2576651,284946595
3830808,285755462
4365585,285831220
4606018,286210009
230380,286313771
3827899,286363959
3745169,286566987
1531036,286682679
2266567,287563734
2951368,288096268
3108797,288669794
1338525,288689440
2286574,288918962
5002615,289217958
2734026,289382458
3239041,290493286
4615417,290614255
4152983,291074572
266784,291723451
46259,291894818
4092065,291929815
1305059,292242592
2791761,292274288
4973305,292421271
2087357,292538570
3157558,292975610
4170517,294166538
1340922,294193726
3911125,294596096
3682069,294631172
4954999,295445501
79715,295462558
4666650,296183853
1323189,296756437
4198227,296853351
2041056,297558390
3219016,297643414
2104483,298748403
2028434,298908505
2278603,299139129
929177,299471086
818610,299631906
271696,299813413
568695,299878026
4572582,300025550
2971043,300893278
2379198,301163765
1220136,301418753
2518420,301733979
3763048,301746785
1953042,302312895
5100093,302331458
704268,302510211
4115850,302532668
1803559,303188552
1603476,303337299
3621238,303401746
2337874,303475501
4182583,303477061
2758020,303830590
4919803,303954672
3839112,304657926
4848310,304878580
3245421,304932775
2434962,305123066
3486895,305260337
3222578,305324342
2158340,305462255
2752250,305464559
598929,305620716
1819306,305929056
3658601,306165224
5153036,307013525
4661590,307083604
4902636,307132353
1046201,307219373
3687011,307538288
2677866,307662507
4492008,308032437
2690154,308608974
4341929,308834118
4863356,309225116
4244099,309399343
562760,310251116
1640913,311395856
2206711,311395924
3895389,311456818
3629289,311466554
4075065,311468972
1606258,311544087
4840649,312093430
2574432,313149078
251391,313324870
510936,313365393
137999,313478124
1203280,313734044
2322855,313835253
4140845,314162908
3656511,314464100
2772937,314506629
2859169,314907526
1212558,315733642
1385281,316491616
5120034,316540851
1953489,317154247
408860,317677424
4590199,318083567
1976168,318267805
3722942,318280645
3059682,318465515
4774231,318639200
2599546,318974349
1501998,318975161
2593031,319009472
1797452,319305999
3869395,319519142
3302343,320166918
1186274,320469536
4417931,320667784
4769300,321026028
2956844,321219952
544269,321369231
4402665,321756558
3011372,322110989
4487355,322423174
4185482,322829337
2594546,323122770
3255674,323242790
2153891,323249918
1925478,323375748
4793529,323833695
4827739,324012853
843246,324018225
848341,324331173
203347,324335340
4950759,324355661
2033067,324530319
1822774,324538716
543879,324561305
462579,324715902
4720367,326148795
1520357,326162486
1373387,327098920
1109842,327244757
2196555,327708154
4240134,327755335
1907674,327771130
1922292,328034857
4778761,328168559
2663756,328330651
4064135,328415391
620939,329218549
2339773,329466722
4444531,329629837
694225,329707508
4599135,329911028
3532002,330159662
3872382,330222186
2412328,330511928
3877041,331271904
308742,331513453
3214150,331538702
2340930,332424440
1409153,333178201
1585986,333208117
3259125,333277750
3595165,333279031
3899295,333453221
2757984,334183810
4236281,334187594
1064699,334436243
3172476,334546669
1420706,334616790
3507039,334828574
1649625,335019557
250452,335029050
3093290,335049342
4343896,335249553
3132168,335498819
1582853,335523128
4567929,335545504
2895228,335789094
823063,335929820
2999487,335941858
1339050,336106741
4636765,336302082
2428634,336305171
1112446,336472524
1678636,337209160
1546182,338117897
2527684,338348877
1542066,338490375
778160,338729908
4088463,338740447
4418456,339224754
4340362,339348074
1554801,339451567
5081961,339473599
4210726,339597241
5095065,339720335
584577,340524558
2156592,340590296
1591982,340769953
3854178,341089820
3999536,341239927
4426549,341288790
864562,342097431
2980887,342254531
4324270,342648612
2942146,342960702
4839543,343751704
1133834,343795703
59883,343816134
4317893,344058289
950087,344115274
4093990,344942625
522765,345015452
4763968,345748786
955594,346622193
2473596,346656942
2998425,346728338
1226070,347024989
2053091,347872059
1956224,347920086
40945,347990652
4192217,347996243
4823342,348056335
105055,348308731
162597,348639431
5028560,348741265
2526169,348792842
925404,348795059
3693424,349841578
1839512,351086172
4686539,351214816
2765156,351448383
1228106,351683087
5125742,352292715
571666,353864056
1975544,353941606
1757180,355022891
899145,355524910
2111992,356086906
1317750,356153459
4457235,356161101
1080797,356277312
479737,356578890
1863103,357039281
4363399,357708798
3417098,358060284
3235373,358348579
955501,358617686
996928,359033497
4322536,359060159
3525158,359081738
2187324,359891723
2072281,360918170
4948650,361294339
2750431,361967071
3950842,362548659
1047994,362562850
2086446,362890121
155433,363480718
3404302,363503154
2104182,364165557
372559,364204209
2623735,364478839
5150592,364502845
1709587,364575127
1928635,364741787
5064213,364854741
797408,364870866
5098344,364895370
3600228,364900027
1093023,364902376
342576,364918873
755883,365417902
1848924,365445568
2003884,365520139
3130844,365735712
3704153,366158571
3894780,366159742
4445384,366161039
1994706,366161441
4468378,366248696
1508681,366253054
2649069,366536578
1249526,366561888
3499937,366798640
1009181,366939020
2530508,367107953
